,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,ИНТЕГРАЛЬНАЯ КАРТА КАЧЕСТВА ЖИЗНИ,,,,,,,,,,,
,, v1.1,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,ЭТАПЫ РАЗВИТИЯ КАЧЕСТВА ЖИЗНИ,,,,,,,,,,,
,,АСПЕКТ ЖИЗНИ,,Этап 1,Этап 2,Этап 3,Этап 4,Этап 5,Этап 6,Этап 7,Этап 8,Этап 9,Этап 10
,,,Богатство,Выживание - приходится полагаться на внешнюю помощь для удовлетворения базовых нужд.,"От зарплаты до зарплаты - ежемесячные расходы покрыты, но нет сбережений, вероятно есть долги.","Первые накопления - Накопил 1-2 месяца резервного фонда на чёрный день, начал погашать долги (если они есть).","Резервные накопления и долговая стратегия – Накоплено 3-6 месяцев резервного фонда, нет высокопроцентных долгов.","Начальные инвестиции – 6-12 месяцев сбережений, инвестиции помимо обычного сберегательного счёта.","Начинающий инвестор – Более года сбережений, расширение в другие формы инвестиций, например, недвижимость.","Самообеспечение – Более двух лет сбережений, пассивный доход покрывает основные жизненные расходы.","Финансовая свобода – Жизнь на доход от инвестиций, нет необходимости в работе, работа - выбор.","Богатство и филантропия – Растущее богатство, значительная благотворительная деятельность.","Создание наследия – Поддержание богатства, создание долгосрочного влияния посредством филантропии и планирования наследия."
,,,Здоровье,"Низкая энергия – Частая усталость, плохое питание, отсутствие физических нагрузок, человек часто болеет.","Первые шаги по осознанному улучшению здоровья - Начало занятий физическими упражнениями и внедрение базовых основ правильного питания, человек всё ещё регулярно болеет и еще есть фоновое состояние усталости.","Активность – Человек редко болеет и нет общего состояния усталости, регулярность тренировок, балансировка питания.","Умеренно высокая энергия – Редко устаёт или болеет, интенсивные тренировки, в основном сбалансированное питание.","Высокая энергия – Постоянно высокий уровень энергии, активный образ жизни, сбалансированное питание, очень редко болеет.","Целостное здоровье – Сбалансированное питание, физические нагрузки и психическое благополучие, внимание ко всем аспектам здоровья.","Жизненная сила – Исключительный уровень энергии, занимается продвинутыми практиками здоровья.",Пиковая производительность – Постоянно в отличной физической форме и в высоком тонусе.,Жизненная гармония - Поддержание пикового состояния и помощь другим. Быстрое восстановление после болезней или травм.,Пример благополучия и пожизненного здоровья - Оказывает позитивное влияние на сообщество или круг общения. Сохраняет высокий уровень энергии и здоровья и в поздние годы жизни.
,,,Счастье,"Кризис / режим выживания – Человек часто испытывает невыносимый стресс, и часто подавлен эмоциями.","Режим борьбы – Человек справляется со стрессом, но происходят частые и сильные эмоциональные спады.","Эмоциональное приспособление – Развитие базовых навыков эмоционального приспособления, человек учится иметь дело со сложными эмоциями.","Стабильное состояние – В основном стабильные эмоции, стресс лишь изредка, человек начинает быть проактивным.",Стойкость – Человек достигает хороших навыков управления стрессом и эмоционального восстановления.,"Внутренний баланс и осознанность – Сбалансированные внутренние состояния, растущий эмоциональный интеллект, регулярная практика осознанности.",Эмоциональное мастерство – Высокий эмоциональный интеллект и контроль.,"Внутренний мир, ясность и сосредоточенность – Высокий уровень умственной ясности и сосредоточенности, состояние внутреннего спокойствия и эмоциональной свободы.","Радостное существование / Гармоничные отношения - Повсеместное чувство радости и мира, редко нарушаемое, укоренившийся покой и эмоциональная сила, эмоциональное обогащение себя и других.","Единство - Эмоциональное благополучие питает и распространяется на все формы жизни вокруг, гармонизированные эмоциональные, когнитивные и духовные состояния."
,,,Отношения и любовь,"Изоляция – Часто чувствует себя одиноким, почти нет активных отношений.","Первые связи – Базовое социальное взаимодействие, но отношения в основном поверхностные, случайные романтические встречи.","Первые глубокие связи – Человек налаживает хотя бы одну близкую эмоциональную связь, появляются короткие романы, семейные узы еще слабые.","Сплочённость семьи и близкие отношения – Узы с ближайшей семьёй, эмоциональная взаимоподдержка от друзей, более менее стабильные романтические отношения.","Глубокие отношения – Несколько близких эмоциональных связей, чувство общности, готовность к интимным отношениям или их начало.","Динамичное сообщество – Помимо предыдущего, человек вовлечён в сообщество, которое дает рост и поддержку, воспринимается как надёжный друзьями и семьёй.","Расширенная любовь и забота – Несколько глубоких, доверительных отношений. Возможно, воспитывает детей или наставляет других, расширяя круг близких отношений.","Осознанные отношения, наставничество и мудрость - Глубокие, осознанные отношения, которые взаимно обогащают. Источник эмоциональной поддержки и мудрости в вашем сообществе.","Универсальная безусловная любовь, наследие поколений - Чувство любви и связи, распространяющееся на всех существ, оставляющее эмоциональный и моральный след на младших поколениях.",Космическое единство - Ощущение глубокого единства и взаимосвязи со всем сущим во Вселенной.
,,,Влияние,"Ненаправленная энергия, неосуществляющиеся мечты - Работа только ради дохода, не совпадает с предназначением, нет четкого влияния.","Приобретение навыков, действия с небольшим влиянием - Работа помогает приобрести навыки, но не совпадает с личными целями, и/или оказывает влияние в микромасштабе (например, помогая другу).","Рост карьеры, целенаправленные действия - Определен карьерный путь и выбрана деятельность по специальности.","Начало роста влияния, нравящаяся деятельность - Участие в творческом процессе или работе, которая начинает совпадать с личными ценностями и предназначением. Первые проекты или хобби, совпадающие с интересами.","Руководящие роли, творческое мастерство - Принятие на себя руководящих обязанностей. Доведение своего мастерства до высокого уровня.",Расширяющееся влияние - Ваши творения/работа начинают влиять на вашу область деятельности или имеют региональное или национальное воздействие.,Широкое устойчивое влияние - Ваши творения/работа значительно влияют на более широкое сообщество. Установлена устойчивая модель для постоянного воздействия.,"Высокое влияние, инновационный вклад - Лидерство в неизведанных областях, создание новых решений. Ваш вклад вносит изменения в больших масштабах.","Глобальное влияние, мульти-областное воздействие - Ваше влияние ощущается по всему миру и охватывает множество секторов.","Глобальный реформатор, наследие - Ваши творения вносят значительные глобальные изменения и будут иметь длительное поколенческое воздействие."
,,,Рост,"Неосведомленность, застой - Нет сознательных усилий по самосовершенствованию или духовному росту.","Первоначальные вопросы, пробуждение любопытства - Начало интереса к более глубокому смыслу жизни, начало изучения самосовершенствования или духовности, с минимальными практическими действиями.","Первые шаги - Начало духовной практики или самосовершенствования, возможно, рефлексия или ведение дневника, но в основном больше как теория, а не практика.","Растущая осознанность и ее практические применения - Растущее понимание своих сильных и слабых сторон, активное применение своих новых осознаний в жизни.","Практики осознанности, духовности, осознанной жизни - Внедрение последовательных личностных, духовных практик роста и осознанности, и применение этого в жизни.","Глубокие прозрения, растущая внутренняя гармония - Прорывы в личном и духовном понимании, растущее чувство мира и баланса во внутреннем мире.","Духовное единение, интеграция Я - Ощущение растущей связи с чем-то большим, балансировка различных аспектов жизни для целостного роста.","Интуитивная жизнь, духовное наставничество - Регулярный доступ к интуиции и духовному руководству в принятии решений. Возможно, направление других в их личном и духовном развитии.","Единое существо, трансцендентальный опыт - Интеграция духовных и мирских аспектов жизни, регулярный опыт состояний за пределами обыденного.",Космическое единство - Ощущение глубокого единства и взаимосвязи со всем сущим во Вселенной.
,,,Социальные связи,"Самоизоляция - Минимум социальных взаимодействий, дискомфорт или отстраненность в социальных ситуациях.","Первоначальные социальные связи, дружеское общение - Случайные социальные связи и светские разговоры, человек присоединяется к группам, но в них минимально активен.","Член сообществ(а), первые близкие узы - Сложился круг друзей, регулярное участие в общественной жизни, но близких связей все еще мало или нет.","Появляющаяся прочность уз - Несколько значимых социальных связей, предлагающих эмоциональную поддержку, взаимный обмен ресурсами и практическими советами.","Активный участник сообществ(а), расширенная сеть - В дополнение к предыдущему, более обширный круг общения, включая наставников и советников, человек берёт на себя роли в сообществе, например, организуя мероприятия.","Близкие высококачественные отношения - Хорошие связи в различных социальных кругах, которые постоянно обогащают и взаимно поддерживают.","Растущее влияние на взаимообогащающую сеть контактов - Ваше мнение значительно влияет на ваше сообщество, вы начинаете влиять на других через свой круг общения.","Лидерство в сообществе - Человек воспринимается как лидер в нескольких социальных кругах, принимает активное участие в принятии общих решений и деятельности.","Глобальная сеть, социальное благодетельство - Действия приносят значительную пользу сообществу, социальные связи охватывают культуры, страны и профессиональные сектора.",Глобальное влияние и создание наследия через социальные связи - Ваше творчество делает вклад в важные глобальные устойчивые межкополенческие  изменения.
